dataset_name,model_type,batch_size,hidden_channels,num_layers,learning_rate,epochs,name,training_time,computation_time,peak_memory,throughput,computation_throughput
QM9,std_concat,128,32,7,0.0001,10,,90.4266426563263,62.88645005226135,60.34432,0.11058687690093506,0.15901676739090168
QM9,alternative_sum,128,32,7,0.0001,10,,105.44863724708557,81.13897752761841,34.750976,0.09483289932489274,0.12324532924507411
QM9,std_concat,128,64,7,0.0001,10,,91.5101945400238,63.70944905281067,98.263552,0.10927744225946652,0.15696258794689466
QM9,alternative_sum,128,64,7,0.0001,10,,106.30829167366028,82.25476002693176,45.98272,0.09406603984097012,0.12157351132901988
QM9,std_concat,128,128,7,0.0001,10,,73.8680510520935,64.21539974212646,193.45408,0.1353765241883499,0.15572588569342533
QM9,alternative_sum,128,128,7,0.0001,10,,68.75290584564209,57.75503969192505,77.537792,0.14544839780955748,0.17314506324195528
QM9,std_concat,256,32,7,0.0001,10,,39.670246601104736,32.95563888549805,115.508736,0.25207809017556043,0.3034382077903046
QM9,alternative_sum,256,32,7,0.0001,10,,39.245622396469116,23.474609375,51.853824,0.2548054888511512,0.42599217904983777
QM9,std_concat,256,64,7,0.0001,10,,43.07555556297302,36.86261177062988,188.966912,0.23215022695135756,0.271277576917853
QM9,alternative_sum,256,64,7,0.0001,10,,39.20626473426819,23.58949565887451,77.89824,0.2550612782874853,0.42391749889904656
QM9,std_concat,256,128,7,0.0001,10,,44.8400661945343,38.407586097717285,343.8592,0.2230148358081356,0.2603652303104344
QM9,alternative_sum,256,128,7,0.0001,10,,38.156755685806274,30.472912549972534,128.04352,0.2620767887695401,0.3281602959218617
QM9,std_concat,512,32,7,0.0001,10,,24.76048731803894,19.332183599472046,203.19744,0.40386927250477117,0.5172721409635844
QM9,alternative_sum,512,32,7,0.0001,10,,24.569244146347046,12.787035703659058,80.887808,0.40701292805081263,0.7820420800998048
QM9,std_concat,512,64,7,0.0001,10,,31.555104732513428,26.569361686706543,353.601536,0.3169059359735321,0.37637336259392723
QM9,alternative_sum,512,64,7,0.0001,10,,24.50104284286499,12.997765064239502,131.20768,0.40814589257012485,0.7693630366895002
QM9,std_concat,512,128,7,0.0001,10,,34.53841829299927,29.579038858413696,649.564672,0.28953265650925714,0.3380772461156398
QM9,alternative_sum,512,128,7,0.0001,10,,23.635324001312256,16.765674352645874,233.147904,0.4230955327477123,0.5964567717147536
QM9,std_concat,1024,32,7,0.0001,10,,19.63045072555542,13.869744300842285,385.937408,0.509412653830803,0.7209938253434649
QM9,alternative_sum,1024,32,7,0.0001,10,,19.151270389556885,7.282853603363037,143.07328,0.5221585720732638,1.3730881526140046
