dataset_name,model_type,batch_size,hidden_channels,num_layers,learning_rate,epochs,name,training_time,computation_time,peak_memory,throughput,computation_throughput
PPI,std_concat,1,32,7,0.0001,10,,5.560703754425049,4.5614378452301025,1304.33792,1.7983335278456951,2.1922911895986927
PPI,alternative_sum,1,32,7,0.0001,10,,5.568429470062256,4.653545618057251,732.0064,1.7958384951741515,2.148899102051732
PPI,std_concat,1,64,7,0.0001,10,,6.462904930114746,5.466666221618652,1497.28,1.5472918305518777,1.8292684416059062
PPI,alternative_sum,1,64,7,0.0001,10,,5.550275802612305,4.688040733337402,735.330304,1.8017122672162307,2.133087267968559
PPI,std_concat,1,128,7,0.0001,10,,7.89832329750061,7.067577838897705,1886.59968,1.2660915011119456,1.4149119016366787
PPI,alternative_sum,1,128,7,0.0001,10,,5.782522439956665,4.905670404434204,745.778688,1.7293491039310072,2.038457371893771
PPI,std_concat,2,32,7,0.0001,10,,5.881897687911987,4.722133159637451,2425.363968,1.7001315783766882,2.1176869990611964
PPI,alternative_sum,2,32,7,0.0001,10,,5.7582244873046875,4.655984878540039,1330.248704,1.7366464301708397,2.1477732984252444
PPI,std_concat,2,64,7,0.0001,10,,6.710632801055908,5.601270437240601,2676.995584,1.490172431790116,1.785309263683112
PPI,alternative_sum,2,64,7,0.0001,10,,5.81157660484314,4.691309213638306,1358.897664,1.7207034648164825,2.131601125529857
QM9,std_concat,512,32,7,0.0001,10,,27.702497005462646,23.158668518066406,326.129664,0.36097829008078597,0.4318037538383892
QM9,alternative_sum,512,32,7,0.0001,10,,31.61909294128418,27.29695224761963,221.377536,0.3162646069123405,0.3663412643758436
QM9,std_concat,512,32,7,0.0001,10,,29.518218755722046,25.120344161987305,311.207424,0.33877382923254884,0.3980837179425366
QM9,alternative_sum,512,32,7,0.0001,10,,38.31170415878296,33.90591025352478,214.354432,0.2610168411865725,0.29493383086391034
QM9,std_concat,512,32,7,0.0001,10,,30.031183004379272,25.586655855178833,316.768768,0.33298721527359604,0.3908287216821249
QM9,alternative_sum,512,32,7,0.0001,10,,34.47494053840637,30.227466583251953,223.547392,0.29006576498252773,0.33082494599599266
QM9,std_concat,512,64,7,0.0001,10,,30.475218772888184,25.90123963356018,370.394624,0.3281354622758721,0.3860819073324592
QM9,alternative_sum,512,64,7,0.0001,10,,36.09347176551819,31.783299207687378,237.942272,0.2770584128056497,0.31463064720421835
QM9,std_concat,512,32,7,0.0001,10,,29.39052724838257,24.96035647392273,316.43392,0.3402456824094683,0.4006353038446176
QM9,alternative_sum,512,32,7,0.0001,10,,33.022119760513306,27.501150369644165,210.601472,0.3028273191582828,0.36362115277323176
QM9,std_concat,2048,64,7,0.0001,10,,21.992567777633667,17.281718015670776,1377.87136,0.45469906475268207,0.5786461734262858
QM9,alternative_sum,2048,64,7,0.0001,10,,20.749038457870483,16.2401340007782,844.018688,0.4819500441094811,0.6157584660028556
QM9,std_concat,2048,128,7,0.0001,10,,27.02533507347107,22.251404523849487,1636.675584,0.37002316429431875,0.4494098334009346
QM9,alternative_sum,2048,128,7,0.0001,10,,22.504353284835815,17.946559190750122,971.2256,0.4443584702670987,0.5572098748128902
QM9,std_concat,1024,32,7,0.0001,10,,18.1645565032959,13.603222370147705,601.309696,0.5505226619865744,0.735119939077451
QM9,alternative_sum,1024,32,7,0.0001,10,,21.85367250442505,17.414851188659668,403.214848,0.4575889932447348,0.5742225352182093
QM9,std_concat,1024,64,7,0.0001,10,,24.17968726158142,16.051697969436646,703.671808,0.4135702787144308,0.622987052151154
QM9,alternative_sum,1024,64,7,0.0001,10,,22.236125946044922,17.817148447036743,442.537472,0.44971862563940335,0.5612570400772043
PPI,std_concat,1,32,7,0.0001,10,,4.7553746700286865,3.828162670135498,1280.818176,2.102883725025115,2.6122191927768967
PPI,alternative_sum,1,32,7,0.0001,10,,4.83321738243103,3.9050323963165283,688.531968,2.069015152587687,2.560798217559636
PPI,std_concat,1,64,7,0.0001,10,,5.250337600708008,4.251703977584839,1455.115264,1.9046394271201723,2.3519981759596664
PPI,alternative_sum,1,64,7,0.0001,10,,4.72919487953186,3.7843050956726074,692.301312,2.1145248302793336,2.6424930726212073
PPI,std_concat,1,128,7,0.0001,10,,7.82168173789978,6.783056735992432,1886.970368,1.2784974299766287,1.474261588722639
PPI,alternative_sum,1,128,7,0.0001,10,,5.3642706871032715,4.416656494140625,745.127936,1.8641863140952049,2.264156158231128
PPI,std_concat,2,32,7,0.0001,10,,5.903402805328369,4.6371986865997314,2570.802176,1.6939382809816181,2.1564743449309893
PPI,alternative_sum,2,32,7,0.0001,10,,5.479791641235352,4.219177722930908,1424.651264,1.8248869035001527,2.370130071945243
PPI,std_concat,2,64,7,0.0001,10,,6.471597671508789,5.392213821411133,2960.139264,1.5452134863118892,1.8545258647371328
PPI,alternative_sum,2,64,7,0.0001,10,,5.325198173522949,4.225790977478027,1349.466624,1.8778643862908821,2.366420879143447
PPI,std_concat,2,128,7,0.0001,10,,8.186566352844238,7.050417900085449,3739.120128,1.2215133389257542,1.4183556410009117
PPI,alternative_sum,2,128,7,0.0001,10,,5.741818428039551,4.294068336486816,1369.327104,1.7416085383623556,2.3287938654887546
PPI,std_concat,4,32,7,0.0001,10,,6.470499515533447,4.699551105499268,4218.017792,1.54547573583669,2.1278628055131295
PPI,alternative_sum,4,32,7,0.0001,10,,5.941720247268677,4.123902320861816,2517.759488,1.6830142759745137,2.4248876966392823
PPI,std_concat,4,64,7,0.0001,10,,7.218585252761841,5.539987564086914,5241.9584,1.3853130010723342,1.8050582035283274
PPI,alternative_sum,4,64,7,0.0001,10,,5.900642156600952,4.114193439483643,2305.120256,1.6947307995644445,2.4306100690430985
PPI,std_concat,4,128,7,0.0001,10,,8.880651712417603,6.960169553756714,6152.726016,1.1260434846259357,1.4367466083642393
PPI,alternative_sum,4,128,7,0.0001,10,,6.015841245651245,4.151419639587402,2393.497088,1.6622779078867547,2.4088145425341465
